label	医院_事件原因分析描述
产品原因（包括说明书等）	1产品质量不达标2推动杆塑料层选材不适当
产品原因（包括说明书等）	微量泵的推进杆老化开裂建议改进生产材料
产品原因（包括说明书等）	注射泵充电后仍显示电量为零
无法确定	原因不明无法确定
产品原因（包括说明书等）	注射泵注射器尾夹传感器故障
无法确定	2025年2月26日护士进行设备维护时发现该注射泵按下启动键后没有回应
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	产品走速过快
无法确定	输液泵长期使用配件老化
产品原因（包括说明书等）	null
无法确定	null
无法确定	null
产品原因（包括说明书等）	初步诊断电源线老化
产品原因（包括说明书等）	初步怀疑注射器识别错误经过拆机后发现机器注射器识别杆断裂插入卡扣内且页面识别传感器存在错位
无法确定	null
产品原因（包括说明书等）	注液泵注速度控制异常泵入药液过快
产品原因（包括说明书等）	注射器夹断裂无法固定注射器
无法确定	系统故障暂时不清楚原因
产品原因（包括说明书等）	屏幕损坏
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
无法确定	null
无法确定	null
产品原因（包括说明书等）	电机故障
无法确定	null
产品原因（包括说明书等）	产品故障问题
产品原因（包括说明书等）	捏柄损坏
产品原因（包括说明书等）	机器内部故障
产品原因（包括说明书等）,无法确定	初步判断为卡夹夹簧失效
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	安装注射器后传感器无法检测到注射器
无法确定	经检测初步判断为注射泵内置线头松动导致异常报警
产品原因（包括说明书等）	注射泵时间长过程中报警
产品原因（包括说明书等）	护士正常操作可能是产品的内部微处理器或者控制板块有问题
产品原因（包括说明书等）,无法确定	初步判断为控制板故障
无法确定	可能是泵的马达的问题
产品原因（包括说明书等）	开机不工作报警
无法确定	null
无法确定	null
无法确定	设备故障
无法确定	null
产品原因（包括说明书等）	经检查是传感器脏及时清理
无法确定	null
无法确定	持输液器的夹子无法旋转
无法确定	无法确定
产品原因（包括说明书等）	设备喇叭损坏
产品原因（包括说明书等）	机器故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	拆开机器检查后发现电源板引脚脱焊导致电源板无输出机器用的是蓄电池待电池电量用完后机器报警电量过低
产品原因（包括说明书等）	配件故障
产品原因（包括说明书等）	注射泵扬声器故障
无法确定	不详
无法确定,产品原因（包括说明书等）	null
产品原因（包括说明书等）	工程师现场检查发现由于设计缺陷导致电源板与主板接触不良打火烧蚀导致此故障此前有同型号机器发生过同样故障
无法确定	系统未能识别注射
产品原因（包括说明书等）,无法确定	初步判断为卡夹材质太脆导致易断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	仪器故障
无法确定	产品质量问题
产品原因（包括说明书等）	注射泵屏幕白屏无法设置数值
无法确定	压力传感器故障
无法确定	注射泵长期使用识别器损坏
产品原因（包括说明书等）	限位开关脱落
无法确定	null
产品原因（包括说明书等）	经检查该机针筒活塞柄固定夹经长期反复使用会导致塑料部件破裂
无法确定	null
产品原因（包括说明书等）	可能是注射泵卡槽设置问题
无法确定	null
产品原因（包括说明书等）	获悉不良事件信息后根据事件描述确认该问题为注射泵问题设备科进行了追溯未发现明显异常对问题产生的原因进行查找并制定控制措施
产品原因（包括说明书等）	设备系统出现紊乱
产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵拉杆传感器损坏
产品原因（包括说明书等）	设备质量原因
无法确定	设备管理部工程师接报修后到达科室对设备进行检查需更换拉杆
产品原因（包括说明书等）	压力传感器损坏
无法确定	系统故障
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
无法确定	无法确定事件原因
产品原因（包括说明书等）	泵夹为塑料材质长期受力导致其断裂
无法确定	输液泵无法正确识别不同毫升数的输液器
产品原因（包括说明书等）	null
无法确定	机械故障
产品原因（包括说明书等）	null
操作原因	操作不当引起的参数出现错误
产品原因（包括说明书等）	设备传感器故障
产品原因（包括说明书等）,操作原因	责任护士未查看仪器的使用状态是否处于完好备用
产品原因（包括说明书等）	注射器夹持器柄断通知设备科到场检修
产品原因（包括说明书等）	该设备插电开机无反应
无法确定	科室使用时报警离合未闭
无法确定	设备使用频率过高维修后正常使用
产品原因（包括说明书等）	检查检测仪器发现仪器电源板故障短路
无法确定	镜检查发现设备的排线松动
产品原因（包括说明书等）	1材质问题2机器使用年限过长
产品原因（包括说明书等）	null
产品原因（包括说明书等）	为了确定故障原因返厂检修
产品原因（包括说明书等）,操作原因	设备科工作人员现场查看发现系机器内部线路接触不良导致故障
产品原因（包括说明书等）	固定拉杆老化需更换
产品原因（包括说明书等）	为病人于光明使用威高微量注射泵注射药物发现泵速不准偏低经维修人员现场维修为推拉盒固定夹子损坏导致注射针管固定不牢导致
产品原因（包括说明书等）	无法确定
产品原因（包括说明书等）	夹子损坏
产品原因（包括说明书等）,无法确定	可能为排线松动
产品原因（包括说明书等）	传感器损坏
无法确定	经检测判断为注射泵内置电机故障
产品原因（包括说明书等）	系统故障
产品原因（包括说明书等）	拆机检查夹持器内部发现有一连接齿轮损坏造成夹持无法关联
无法确定	null
产品原因（包括说明书等）	注射器夹具塑料材质断裂
产品原因（包括说明书等）	内部电路控制排线故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	初步诊断报警复位开关故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	科室工作人员在使用前对设备检查时候发现设备启动按钮不起作用
产品原因（包括说明书等）	null
产品原因（包括说明书等）,操作原因	电池模块损坏
产品原因（包括说明书等）	电机控制系统出现异常导致流速过快
产品原因（包括说明书等）	经检查发现压柄断裂外壳破裂需要更换
产品原因（包括说明书等）	注射泵注射器夹头松动
操作原因	null
产品原因（包括说明书等）	使用过程中突然报警显示堵塞立即联系维修更换输液泵继续为患者治疗
无法确定	注射杆断裂
无法确定	注射泵不明原因尾夹开裂导致仪器无法正常工作
产品原因（包括说明书等）	夹子螺纹损坏
产品原因（包括说明书等）	null
产品原因（包括说明书等）	机器存在性能或功能故障该故障为常见故障
无法确定	null
产品原因（包括说明书等）	null
无法确定	注射泵的固定夹固定不住
产品原因（包括说明书等）	可能电脑程序出错
产品原因（包括说明书等）	多考虑产品质量问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	初步判断为材质硬度不够导致卡夹破裂
产品原因（包括说明书等）	null
无法确定	设备故障
产品原因（包括说明书等）	使用过程中夹子中渗透液体
产品原因（包括说明书等）	拉杆断裂拉杆与机壳一体要换需换整个机壳
无法确定	经检测判断为注射泵内置导联线脱落松动导致注射泵异常报警
产品原因（包括说明书等）	使用过程中注射泵报警
产品原因（包括说明书等）	注射时间不准需校正
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	注射泵限位杆处断裂导致内部识别注射器大小传感器部分松动设备无法识别到注射器且无报警
无法确定	可能使用者撞击导致也可能材质过薄或者自然老化
无法确定	使用频率高
无法确定	null
产品原因（包括说明书等）	机器内部问题
产品原因（包括说明书等）	因设备使用年限较久导致的设备老化固定夹内侧的固定槽破损已送往设备科检修
产品原因（包括说明书等）,无法确定	初步判断为系统故障
操作原因	注射器安装问题
产品原因（包括说明书等）	注射杆故障
产品原因（包括说明书等）	无法开关机
无法确定	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	内部排线脱落
无法确定	针筒固定夹断裂
产品原因（包括说明书等）	电源充电电路故障
无法确定,产品原因（包括说明书等）	null
无法确定	患者多设备使用率过高
无法确定	机器报错
无法确定	螺丝断裂
产品原因（包括说明书等）	该设备于2019年2月购置使用该故障的出现系注射器顶紧传感器故障造成考虑顶紧传感器质量问题
无法确定	null
产品原因（包括说明书等）,无法确定	注射泵2通道报警显示系统故障
无法确定	原因不明无法确定
产品原因（包括说明书等）	输液泵精密度不准确未能在规定时间内泵注完药液
产品原因（包括说明书等）	注射泵压柄故障
产品原因（包括说明书等）	机壳内电路板老化松动
产品原因（包括说明书等）	报警异常
产品原因（包括说明书等）	注射泵夹杆断裂
无法确定	不明原因报警
无法确定	null
产品原因（包括说明书等）	材质问题
产品原因（包括说明书等）	管理堵塞电源线脱落电池负压
产品原因（包括说明书等）	null
无法确定	限位开关未弹起
产品原因（包括说明书等）	注射泵推注杆的夹子松动
产品原因（包括说明书等）	产品使用寿命太长
产品原因（包括说明书等）	经工程师检查走校准程序进行校准后恢复正常
产品原因（包括说明书等）	排线损坏
产品原因（包括说明书等）	可能设备存在故障
产品原因（包括说明书等）	注射泵无法推注液体因为推注器固定支架松动
产品原因（包括说明书等）,无法确定	长期使用设备老化导致
无法确定	null
患者自身原因	病人误摔设备导致注射器固定把手卡死注射器无法识别设备无法正常使用
产品原因（包括说明书等）	使用过于频繁设备材质无法达到使用强度内部可能存在断裂
无法确定	使用频繁
产品原因（包括说明书等）	null
产品原因（包括说明书等）,操作原因	疑似磕碰
产品原因（包括说明书等）	夹子采用塑料材质容易断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	发现该设备2通道注射器推进杆卡塞产品质量缺陷
无法确定,产品原因（包括说明书等）,操作原因	null
无法确定	null
产品原因（包括说明书等）	可能为产品质量问题
产品原因（包括说明书等）	经工程师维修判定该设备针筒夹子断裂导致无法安装使用故障发生
产品原因（包括说明书等）	日常保养时发现无法充电无法使用
无法确定	null
产品原因（包括说明书等）	可能扬声器故障
产品原因（包括说明书等）	产品故障
无法确定	产品原因
产品原因（包括说明书等）	注射器夹子坏
产品原因（包括说明书等）	无法开机
产品原因（包括说明书等）	器械科工程师将机器内部排线重新插拔之后恢复正常目前机器可正常使用怀疑排线过短接触不良导致
产品原因（包括说明书等）	null
产品原因（包括说明书等）	机器老化
无法确定	屏幕连接排线松动
产品原因（包括说明书等）	注射器推进传感器故障
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	使用中无法识别注射器规格注射器压杆故障
产品原因（包括说明书等）	初步分析零件故障
无法确定	null
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	注射泵拉杆拉不动
产品原因（包括说明书等）	长期使用导致部件老化脱落
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	尾夹传感器损坏
产品原因（包括说明书等）	经检修内部一处线缆插头位置松动导致机器无法工作
产品原因（包括说明书等）	设备扬声器故障
无法确定	传感器故障
无法确定	原因不明无法确定
产品原因（包括说明书等）	最近威高注射泵经常性出现类似问题
产品原因（包括说明书等）	注射泵拉杆夹子根部是塑料的老化损坏
产品原因（包括说明书等）	机器注射夹断裂导致无法固定注射器
操作原因	人员误操作
无法确定	使用注射泵持续泵入生长抑素发现注射泵无法打开遂更换注射泵
产品原因（包括说明书等）	设备老化
无法确定	仪器故障
产品原因（包括说明书等）	长期使用压柄老化卡死
产品原因（包括说明书等）	系统故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为产品自身原因
无法确定	null
产品原因（包括说明书等）	微量泵捏柄老化导致捏柄断裂不能自由分合致使微量泵的拉杆无法伸缩机器无法工作
无法确定	现场检查推杆夹持器有裂纹在推送注射器时有影响
无法确定	设备使用时间长蓄电池无蓄电能力
产品原因（包括说明书等）	经与厂家协商乃机器本身电位器故障
产品原因（包括说明书等）	设备只有在简易模式的情况下输出的药量是正常的经查阅资料发现是注射器识别板故障
无法确定	报警暂停开始按钮无反应
产品原因（包括说明书等）	推进杆扳手断了发现材质为塑料多次使用后容易断裂类似的机器已发生多次系产品本身问题建议改进
产品原因（包括说明书等）	怀疑产品材质不好不耐用容易滑丝
产品原因（包括说明书等）	系统程序故障
产品原因（包括说明书等）	传感器故障
无法确定,产品原因（包括说明书等）	null
无法确定	经检测发现注射泵内置电机故障从而导致无法正常推完药液
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	设备质量问题
产品原因（包括说明书等）	泵电机故障机器内部位置电位器故障
产品原因（包括说明书等）	报警系统异常
产品原因（包括说明书等）	产品质量问题
无法确定	null
产品原因（包括说明书等）	可能与机器有关
产品原因（包括说明书等）	注射泵选择后无匹配
产品原因（包括说明书等）	该泵推拉盒断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定	怀疑推注电机故障
无法确定	null
产品原因（包括说明书等）	产品材质问题
产品原因（包括说明书等）	无法运行
产品原因（包括说明书等）	检查后发现转班电池没电导致时间显示不对
产品原因（包括说明书等）	B通道拉杆处固定圆柱断裂
产品原因（包括说明书等）	现场检查供电正常推动推杆电位数值无变化拆机发现连接线松动紧固连接线电位数值变化正常试机正常
产品原因（包括说明书等）	机器老化
产品原因（包括说明书等）	微量泵使用过程中在固定杆上无法固定容易下滑微量泵背部固定装置滑丝无法紧固
无法确定	设备不灵敏
产品原因（包括说明书等）	考虑为器械使用时间过长推拉杆发现卡盒损坏导致无法正常使用
无法确定	null
产品原因（包括说明书等）	系统时间与北京时间不相符
产品原因（包括说明书等）	开机报系统故障压力传感器数值异常
无法确定	仪器老化电路板损坏启动推杆系统损坏
产品原因（包括说明书等）	经维修人员现场维修发现注射泵拉杆损坏
无法确定	无法确定
无法确定	电池老化不能充电
产品原因（包括说明书等）	蜂鸣器坏蜂鸣器坏造成治疗过程中出现异常状况不能报警可能危及生命有较大安全隐患
无法确定	电池续航能力低
无法确定	22床何颖男38岁遵医嘱给予NS50ml生长抑素3mgQ12h泵人剩余液体30ml时显示停止报警灯闪烁重新启动时还是报警立即更换注射泵未对患者造成不良后果
产品原因（包括说明书等）	控制电路检测到异常信号
产品原因（包括说明书等）	屏幕显示离合未闭
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为设备自身原因
产品原因（包括说明书等）	产品质量缺陷
产品原因（包括说明书等）	注射泵离合排线断裂导致设备报警离合未闭
产品原因（包括说明书等）	1气泡传感器压力传感器等可能因老化污染或干扰而误触发报警2环境问题如温度湿度存在电磁干扰影响操作正常进行
产品原因（包括说明书等）	质量问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	推进杆架子断裂
无法确定	null
无法确定	null
无法确定	null
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	人医护知识经验不足经验不足机医疗设备器材发生故障医疗设备器材未定期检修
产品原因（包括说明书等）	获悉不良事件信息后根据事件描述确认该问题为注射泵报警设置问题公司根据提供的生产日期对产品的生产记录检验记录进行了追溯未发现明显异常其他医院使用该批次产品也未出现异常属个例问题公司也组织了相关人员对问题产生的原因进行查找并制定控制措施
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为产品自身原因
产品原因（包括说明书等）	按键有时失灵
无法确定	设备使用年限过长使用频繁导致设备故障
产品原因（包括说明书等）	null
无法确定	null
无法确定	初步推断为输液管打折受压或血块阻塞静脉通路进血端血管压力过大
无法确定	无法确定
无法确定	阻塞报警怀疑管有阻塞或检测电路故障
无法确定	科室在使用时发现注射泵上通道报警系统6故障
产品原因（包括说明书等）	排线连接问题
产品原因（包括说明书等）	产品质量原因
产品原因（包括说明书等）	null
产品原因（包括说明书等）	材质问题或设计缺陷
产品原因（包括说明书等）	可能为产品故障
产品原因（包括说明书等）	产品质量问题
无法确定	设备管理部工程师接报修后到达科室检查设备分析故障原因为注射泵传感器损坏
产品原因（包括说明书等）,无法确定	科室日常检查发现该设备开机即报故障
产品原因（包括说明书等）	产品设计缺陷造成推杆部位易磕碰
产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵内置电池故障
产品原因（包括说明书等）,无法确定	原因不明无法确定
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	检修发现确实注射泵14通道存在误差
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	原因待查
无法确定	产品机械问题停止护士操作不当
产品原因（包括说明书等）	时间错误
产品原因（包括说明书等）	压力传感器故障
产品原因（包括说明书等）	检查后发现设备固定注射器的卡扣老化导致断裂
产品原因（包括说明书等）	质量原因
产品原因（包括说明书等）	机器老化充电线故障
产品原因（包括说明书等）	可能与产品或操作有关
操作原因	责任护士未及时关注微量泵每小时泵入的情况导致微量泵故障时未及时发现分级护理制度落实不到位交接班制度落实不到位缺乏安全风险防范意识
产品原因（包括说明书等）	多次按确认键触点碳化接触不良
产品原因（包括说明书等）	使用时发现气泡报警
产品原因（包括说明书等）	null
产品原因（包括说明书等）	设备开机后一直报警消毒液渗入主板内按键出现短路
产品原因（包括说明书等）	注射泵排线坏
产品原因（包括说明书等）	固定拉杆坏了
产品原因（包括说明书等）	设备参数问题
产品原因（包括说明书等）	工程师维修判定该设备推动杆夹子损坏导致设备故障的发生
产品原因（包括说明书等）	多考虑1该产品存在质量缺陷2操作者未按说明书对产品进行维护和保养
产品原因（包括说明书等）	操作规范正确产品质量问题
产品原因（包括说明书等）,无法确定	设备排线故障
无法确定	通过注射泵给患者给药的过程中机器持续报警无法正常使用
产品原因（包括说明书等）	null
产品原因（包括说明书等）	产品质量不佳
无法确定	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	1设备发生故障2主板电池电量不足
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	出现该故障初步判断为内部阻塞传感器故障造成医务人员按操作规程操作保养该设备该设备仅仅使用两年出现此故障考虑传感器质量问题
产品原因（包括说明书等）	注射泵固定杆断裂无法使用检修后发现该泵无法单独更换固定杆需要将前壳一同更换
产品原因（包括说明书等）	注射泵注射器固定架故障固定架质量不佳
无法确定	泵速不准确设备故障
无法确定	电源板损坏
产品原因（包括说明书等）	产品原因
产品原因（包括说明书等）	产品出现的质量问题建议厂家对产品进行不断完善和质量改进
产品原因（包括说明书等）	null
产品原因（包括说明书等）	机械内部问题长时间使用可能导致注射泵的齿轮传动带等机械部件磨损影响注射泵的使用传感器故障压力传感器或流量传感器出现问题
无法确定	null
产品原因（包括说明书等）	在使用过程中注射器固定夹手柄断裂分析应该是时间太久部件老化造成
无法确定,产品原因（包括说明书等）	原因不明无法确定
产品原因（包括说明书等）	操作规范正确出现泵速不准的情况判定为产品自身原因
无法确定	排线松动
无法确定	电源线损坏
产品原因（包括说明书等）	1到达现场测试设备发现设备A道没有报警功能2带回办公室维修打开设备内部从新拔插主板连接线3从新测试反复测试各项报警都能正常出现3问题排除安装好设备送回科室
产品原因（包括说明书等）	设备电池存在故障
产品原因（包括说明书等）	初步怀疑产品长期使用老化导致故障
产品原因（包括说明书等）	机器内部问题
操作原因	null
无法确定	null
产品原因（包括说明书等）	为线路老化导致的断电无法使用从而导致电源跳闸
产品原因（包括说明书等）	威高的注射泵偏重护士提拿不方便注射器固定夹的部分结构与前壳一体铸造且位置突出容易被碰撞撞断了就需要更换整个前壳换前壳也很麻烦原厂工程师更换前壳至少两个小时
产品原因（包括说明书等）	部件老化断裂
操作原因,产品原因（包括说明书等）	由于操作时将液体流入设备内导致电路板有故障
产品原因（包括说明书等）	科室人员检查设备时发现夹持杆断裂没有给患者造成不良现象报设备科维修
无法确定	连续使用时间过长过热保护
无法确定	注射泵内部排线脱落
无法确定	null
产品原因（包括说明书等）	设备电源损坏
产品原因（包括说明书等）	错误报警
无法确定	null
产品原因（包括说明书等）	产品卡夹质量差塑料强度不足导致损坏
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	仪器故障
产品原因（包括说明书等）	产品使用较频繁耐用度不良
产品原因（包括说明书等）	对设备拍打有通电现象拆机检查变压供电板有针脚虚焊
产品原因（包括说明书等）	该设备频发性事件系质量原因
产品原因（包括说明书等）	注射泵机芯齿轮卡住
产品原因（包括说明书等）	初步判断材质问题
产品原因（包括说明书等）	怀疑产品设计问题应采用防滑螺丝固定座脱落设备掉落容易造成安全事故
产品原因（包括说明书等）	注射器夹子坏
产品原因（包括说明书等）	报警喇叭损坏
无法确定	药液未泵完提前报警
产品原因（包括说明书等）	传感器松动
产品原因（包括说明书等）	电位执行器故障
产品原因（包括说明书等）,无法确定	初步判断为卡夹固定螺丝杆故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	无
产品原因（包括说明书等）	医护人员使用注射泵为患者治疗前进行准备过程中安装注射器时发现无法识别注射器规格经检查发现注射器拉杆支架断裂导致注射器位置不正确
产品原因（包括说明书等）	微量注射泵使用过程中突然停机怀疑产品质量问题
产品原因（包括说明书等）	怀疑产品质量缺陷输注到一定位置就报警停止推杆容易损坏无法识别正确位置
产品原因（包括说明书等）,无法确定	null
产品原因（包括说明书等）	设备零部件脆化耐久度不足
产品原因（包括说明书等）	null
产品原因（包括说明书等）	202203100900设置50mlh给予泵入于0910发现药物未减少可能是微量泵本身存在损坏造成其不能正常泵出药物
产品原因（包括说明书等）	拆机检查夹持器内部发现有一连接齿轮损坏造成夹持无法关联
无法确定	null
产品原因（包括说明书等）	注射泵卡口损坏
产品原因（包括说明书等）	感应器无法感应
无法确定	null
产品原因（包括说明书等）	拉杆使用频率高生锈卡顿
产品原因（包括说明书等）	医护人员使用注射泵为患者输液过程中发现注射泵的实际输液速度与设定输液速度不符
产品原因（包括说明书等）	塑料材质夹子长期使用变脆断裂
产品原因（包括说明书等）	null
产品原因（包括说明书等）	夹子长期使用塑料老化出现裂纹
产品原因（包括说明书等）	多考虑该产品存在质量缺陷
无法确定	null
产品原因（包括说明书等）	微泵夹注射器尾部处破裂是弹簧复位传感器接受信号后停止输注
产品原因（包括说明书等）	注射泵故障
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	电位器移位
产品原因（包括说明书等）,无法确定	喇叭故障
产品原因（包括说明书等）	注射泵自动停止注射工程师检修后怀疑为注射泵控制系统故障
产品原因（包括说明书等）	上报设备科工程师经检修发现机器内喇叭损坏
产品原因（包括说明书等）	多考虑该产品长期使用损坏而致
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	泵损坏
产品原因（包括说明书等）	设备报错系统故障4一般为内部电路板接线故障
产品原因（包括说明书等）	上联电位值偏离
产品原因（包括说明书等）	按键失灵导致无法调整剂量
产品原因（包括说明书等）	电源板损坏
无法确定	null
无法确定	注射泵出现故障针筒推杆夹断裂
产品原因（包括说明书等）	传感器损坏
无法确定	设备管理部工程师接报修后到达科室清理旋杆
无法确定	主板老化
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	丝杆镊柄损坏
产品原因（包括说明书等）	null
产品原因（包括说明书等）,无法确定	初步判断为卡夹内弹簧失活或掉落
无法确定	拆开后发现电机的供电电源线有一根断掉
产品原因（包括说明书等）	机械工作能力损耗
产品原因（包括说明书等）	尾夹传感器损坏
产品原因（包括说明书等）	null
无法确定,产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵因使用过于频繁电池储存电量能力不足
产品原因（包括说明书等）,操作原因,无法确定	准备进行定点药物治疗前发现威高注射泵不能使用仪器开机后报仪器故障立即跟换微量泵
产品原因（包括说明书等）	null
产品原因（包括说明书等）	可能器械质量问题
产品原因（包括说明书等）	注射泵尾夹断裂
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	性能功能故障可能是电池老化所致
产品原因（包括说明书等）	电源线短路电源线老化
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）,无法确定	微量泵屏幕报系统故障不能使用具体原因不明
无法确定	经检查发现是内部电路排线断
产品原因（包括说明书等）	注射泵硬件故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	工程师取回设备后发现一通道注射器推杆夹断裂现只能单独使用第二通道进行注射作业由于该配件塑料材质较薄在跌落情况下比较容易折断建议加固或做好相关防护设计已联系厂家购买相关配件
产品原因（包括说明书等）,操作原因	1设备本身故障导致无法工作2未规范设备正确操作流程
无法确定	初步判断为设备内部故障所致
产品原因（包括说明书等）	机械故障
产品原因（包括说明书等）	注射泵卡扣无法完全闭合设备科人员拆卸后发现卡扣及内部齿轮均为注塑材质本身误差较大容易产生彼此之间的阻碍属质量问题
无法确定	指脉氧测量故障
无法确定	检修发现前壳拉杆处断裂
产品原因（包括说明书等）	疑似产品质量缺陷
产品原因（包括说明书等）	产品推注药液计量不准确
产品原因（包括说明书等）	受力部分为塑料件且受力点薄弱长期使用导致断裂
产品原因（包括说明书等）	设备质量不佳
无法确定	机器内部传感器故障
无法确定	设备故障
无法确定	无法确定
无法确定	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	现场检查推送杆夹持器断裂
产品原因（包括说明书等）	该设备离合器捏柄断裂
产品原因（包括说明书等）	产品质量问题
产品原因（包括说明书等）	报错错误2厂家联系压力传感器错误返厂维修
产品原因（包括说明书等）	按键无反应
产品原因（包括说明书等）	预计是程序出现错误
产品原因（包括说明书等）	患者血压不稳定需用升压药控制血压需用注射泵控制流速操作微量泵时发生微量泵报系统故障及时更换其他微量泵使用未给患者造成影响
产品原因（包括说明书等）	多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养
产品原因（包括说明书等）	null
无法确定	给患者使用微量泵时发现下侧泵管运行中不显示运行状态
产品原因（包括说明书等）	null
产品原因（包括说明书等）	按键或按键板问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	系统问题
产品原因（包括说明书等）	塑料长杆已经断裂
产品原因（包括说明书等）,无法确定	初步判断为输液器故障或系统故障
产品原因（包括说明书等）	固定注射器的捏柄及推拉盒断掉脱落设备无法工作
产品原因（包括说明书等）	多考虑该产品存在质量问题
产品原因（包括说明书等）	传感器排线故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	注射泵卡扣损坏考虑为产品质量存在问题
产品原因（包括说明书等）	设备报系统故障6代码经进一步检测代码6为压力传感器故障随告知临床终止使用待维修
产品原因（包括说明书等）	多考虑1该产品存在质量缺陷2操作者未按说明书对产品进行维护和保养
产品原因（包括说明书等）	遵医嘱为患者进行治疗使用注射泵的过程中出现屏幕闪烁立即更换注射泵为患者继续治疗
产品原因（包括说明书等）	设备故障
操作原因	null
产品原因（包括说明书等）	经维修工程师维修判定该设备因使用频率高设备磨损老化导致注射夹子断裂
产品原因（包括说明书等）	设备材质问题或设计缺陷
无法确定	注射泵蓄电池耗尽死机
无法确定	注射泵系统故障
操作原因	设备碰撞损坏压柄
无法确定	null
无法确定	设备老化导致的注射器夹断裂
产品原因（包括说明书等）	注射泵拉杆传感器损坏
产品原因（包括说明书等）	注射泵前外壳损坏无法使用
无法确定	null
无法确定	2024年3月13日该科室护士在操作该注射泵时发现后壳掉落随后将该设备送往设备科设备科接受后展开检修活动分析全部螺丝脱落螺丝松动导致
产品原因（包括说明书等）	使用年限过长导致把柄过松
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	注射泵夹子塑料太薄设计原因
产品原因（包括说明书等）	使用频率高
产品原因（包括说明书等）	设备故障
产品原因（包括说明书等）	null
产品原因（包括说明书等）	微量泵损坏
产品原因（包括说明书等）	设备老化故障
产品原因（包括说明书等）	设备老旧
产品原因（包括说明书等）	多考虑该产品长期使用损耗所致
产品原因（包括说明书等）,无法确定	null
产品原因（包括说明书等）	质量问题
无法确定	报警系统失控
无法确定	null
产品原因（包括说明书等）	null
产品原因（包括说明书等）	质量问题
产品原因（包括说明书等）	null
产品原因（包括说明书等）	null
无法确定	null
产品原因（包括说明书等）	注射泵系统故障报警初步怀疑注射泵故障
产品原因（包括说明书等）	null
